"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"1","This is madness. State sanctioned madness.
#Duterte #Manila #Philippines #madman #President https://t.co/2kU34liHEx",FALSE,0,NA,2016-10-10 14:57:11,FALSE,NA,"785494391095865344",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CalvinSwine905",0,FALSE,FALSE,NA,NA,"Etobicoke,ON,CANADA ","en","http://pbs.twimg.com/profile_images/1290344842/IMG_0111_normal.jpg"
"2","RT @Richeydarian: #FVR #president #Ramos has spoken out on #Duterte: ""Team Philippines losing"" https://t.co/tbjuhSgAos via @gmanews",FALSE,0,NA,2016-10-10 12:53:17,FALSE,NA,"785463212669972480",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","akaclever",3,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/652075329339559936/SvbmTBG4_normal.jpg"
"3","Duterte #claimsbishop keeps a mistress #CatholicChurch #ZamboangaCity #President... https://t.co/siIolgWyZj https://t.co/YADbBbKOjH",FALSE,0,NA,2016-10-10 11:25:24,FALSE,NA,"785441093135589376",NA,"<a href=""http://leadstories.com"" rel=""nofollow"">Lead Stories Feed Publisher</a>","Timesolizer",0,FALSE,FALSE,NA,NA,"Earth","en","http://pbs.twimg.com/profile_images/558573226423353344/Xjj7p4qe_normal.jpeg"
"4","#Philippines #President #Duterte orders US forces out after 65 years: 'Do not treat us... https://t.co/EXh95qanpT https://t.co/sZGCSF8qLd",FALSE,0,NA,2016-10-10 11:13:32,FALSE,NA,"785438106996662273",NA,"<a href=""http://leadstories.com"" rel=""nofollow"">Lead Stories Feed Publisher</a>","militarylizer",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/521633892512440323/KKItdKmz_normal.jpeg"
"5","RT @Timesolizer: Duterte, #CitingHitler, Says He Wants to Kill 3 Million Addicts in #Philippines #president https://t.co/CyG6CgKJcA https:/…",FALSE,0,NA,2016-10-10 10:21:23,FALSE,NA,"785424985380777984",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","anonymous558b",1,TRUE,FALSE,NA,NA,"Catalonia, Spain, The World","es","http://pbs.twimg.com/profile_images/781008644943015936/EMbrOU95_normal.jpg"
"6","#Philippines #President to issue Executive Order implementing #FamilyPlanning law  |  #Contraception #BirthControl | https://t.co/cP1tKsgQht",FALSE,0,NA,2016-10-10 09:59:22,FALSE,NA,"785419443388215298",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Dhammikax",0,FALSE,FALSE,NA,NA,"London","en","http://pbs.twimg.com/profile_images/579876278708396032/uOdofnXn_normal.jpg"
"7","Ex-Philippine #president Ramos says #Dutertegovernment a 'letdown' #Philippines... https://t.co/3xIItZQ25o https://t.co/3gt0uDgVIY",FALSE,0,NA,2016-10-10 09:16:34,FALSE,NA,"785408674730737664",NA,"<a href=""http://leadstories.com"" rel=""nofollow"">Lead Stories Feed Publisher</a>","Pollizer",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/558204608716079105/TpufoC1P_normal.jpeg"
"8","(1/2) #President Duterte: I'm appalled by so many groups, including priests, bishops complaining about",FALSE,0,"NewsCentralPH",2016-10-10 08:26:09,FALSE,"785393129494937600","785395984587075584","2803366770","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NewsCentralPH",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/670119659597762560/Bsgx_FDK_normal.png"
"9","#french #Newspaper #The #Liberation calls #Duterte a #SerialKiller  #president

https://t.co/IQpwGGOpyO",FALSE,0,NA,2016-10-10 07:59:34,FALSE,NA,"785389297314562048",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","asianewsnetwork",0,FALSE,FALSE,NA,NA,"Bangkok, Thailand","en","http://pbs.twimg.com/profile_images/705627647221497856/OKZRJ06D_normal.jpg"
"10","Smoke-free Philippines awaits #Duterte signature  #President https://t.co/trN7elpGS2 https://t.co/OpHK4A8hHE",FALSE,0,NA,2016-10-10 07:14:17,FALSE,NA,"785377899679457280",NA,"<a href=""http://leadstories.com"" rel=""nofollow"">Lead Stories Feed Publisher</a>","Trendolizer",0,FALSE,FALSE,NA,NA,"","nl","http://pbs.twimg.com/profile_images/2290774181/kcq5vhtz6c9ett1zek5d_normal.png"
"11","Duterte Tags #AgotIsidro in New Drug Matrix #NewBilibidPrison #President... https://t.co/O1Ax0kn0gE https://t.co/QPjYwKJpKI",FALSE,0,NA,2016-10-10 03:51:47,FALSE,NA,"785326938080542724",NA,"<a href=""http://leadstories.com"" rel=""nofollow"">Lead Stories Feed Publisher</a>","Blogolizer",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/522302825544429568/RLbD1u7c_normal.png"
"12","RT @Richeydarian: #FVR #president #Ramos has spoken out on #Duterte: ""Team Philippines losing"" https://t.co/tbjuhSgAos via @gmanews",FALSE,0,NA,2016-10-10 03:37:46,FALSE,NA,"785323409748135936",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","marcconcepcion",3,TRUE,FALSE,NA,NA,"Metro Manila, Philippines","en","http://pbs.twimg.com/profile_images/638537108433403904/C2LiVCg5_normal.jpg"
"13","RT @Richeydarian: #FVR #president #Ramos has spoken out on #Duterte: ""Team Philippines losing"" https://t.co/tbjuhSgAos via @gmanews",FALSE,0,NA,2016-10-10 00:57:20,FALSE,NA,"785283037600690176",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","edtan5252",3,TRUE,FALSE,NA,NA,"","en","http://abs.twimg.com/sticky/default_profile_images/default_profile_5_normal.png"
"14","#FVR #president #Ramos has spoken out on #Duterte: ""Team Philippines losing"" https://t.co/tbjuhSgAos via @gmanews",FALSE,9,NA,2016-10-10 00:49:31,FALSE,NA,"785281070535180288",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Richeydarian",3,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/722034304209924097/A0Tao6Z8_normal.jpg"
"15","https://t.co/cqYuzfYmyN FULL RSS for ANY blog, web, feed &amp; news https://t.co/Qk2H80yvn8 | #HKePrix #President Duterte to telecommunications…",FALSE,0,NA,2016-10-09 21:33:07,FALSE,NA,"785231643610972160",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","ProNewsReader",0,FALSE,FALSE,NA,NA,"USA","en","http://pbs.twimg.com/profile_images/552321336735846400/LUuEO79x_normal.jpeg"
"16","#'At #least 3,600 slaughted' #Philippines president #Rodrigo #Duterte's 100 days #office: #President intends extend https://t.co/rJmYoYcjkF",FALSE,0,NA,2016-10-09 17:20:09,FALSE,NA,"785167981538004992",NA,"<a href=""http://no.com"" rel=""nofollow"">wingie_python_test</a>","wingston",0,FALSE,FALSE,NA,NA,"bangalore","en","http://pbs.twimg.com/profile_images/3537672406/190f79c88052bd5078e91796fd0fffe1_normal.jpeg"
"17","#Duterte and #Obama , Who (for you) is the better #president ? #PresidentDuterte  #elections2016 #election",FALSE,0,NA,2016-10-09 16:57:10,FALSE,NA,"785162198251294720",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Pearlyshop",0,FALSE,FALSE,NA,NA,"Philippines","en","http://pbs.twimg.com/profile_images/1436440574/Picture1_normal.jpg"
"18","Because being a tactful and diplomatic #president is just overrated... #Philippines 

https://t.co/Ymwk11u2qD https://t.co/AMeiwOM5zp",FALSE,0,NA,2016-10-09 16:08:03,FALSE,NA,"785149838426071041",NA,"<a href=""http://www.crowdfireapp.com"" rel=""nofollow"">Crowdfire App</a>","bambi_traore",0,FALSE,FALSE,NA,NA,"London, England","fr","http://pbs.twimg.com/profile_images/762415729408815105/b9e-XVBO_normal.jpg"
"19","#Filipino #president banishes alliance with US https://t.co/X4FVwLXulG ...naturally locals will say they like him they're scared shitless",FALSE,0,NA,2016-10-09 12:55:33,FALSE,NA,"785101395846397953",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CR1T1QUE",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/769892935462711296/Hoqn8idM_normal.jpg"
"20","RT @UNolizer: #Duterte to establish better relations with #China, #Japan     #President #UnitedStates... https://t.co/iHkGpzMfOF https://t.…",FALSE,0,NA,2016-10-09 12:31:29,FALSE,NA,"785095336775692288",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","vais42",1,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/570449766267658241/kOycyLuH_normal.jpeg"
"21","#Duterte to establish better relations with #China, #Japan     #President #UnitedStates... https://t.co/iHkGpzMfOF https://t.co/BEJkJGgdQg",FALSE,0,NA,2016-10-09 12:24:54,FALSE,NA,"785093680310919168",NA,"<a href=""http://leadstories.com"" rel=""nofollow"">Lead Stories Feed Publisher</a>","UNolizer",1,FALSE,FALSE,NA,NA,"New York","en","http://pbs.twimg.com/profile_images/709735959244353536/6uHKNGC6_normal.jpg"
"22","Rody cool to climate agreement   #Philippines #President #Paris #Duterte https://t.co/5sfZ3i3Gui https://t.co/8mIxI6hITX",FALSE,0,NA,2016-10-09 04:25:51,FALSE,NA,"784973125742108672",NA,"<a href=""http://leadstories.com"" rel=""nofollow"">Lead Stories Feed Publisher</a>","greenolizer",0,FALSE,FALSE,NA,NA,"Planet Earth","en","http://pbs.twimg.com/profile_images/516936394556452865/EVI9XNVu_normal.jpeg"
"23","‘Do not treat us like a doormat, you’ll be sorry for it’ – #Philippines #President #Duterte to #US https://t.co/ajG54M65Xf Via @RT_com",FALSE,0,NA,2016-10-09 02:17:50,FALSE,NA,"784940906407276544",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FreeTraininOnLi",0,FALSE,FALSE,NA,NA,"SF","en","http://pbs.twimg.com/profile_images/946034063/Picture_3_normal.png"
"24","Assuming presidency: Duterte's first 100 days  #Philippines #President #RodrigoDuterte... https://t.co/W0rcRjOG7K https://t.co/vr7Jt8qQPl",FALSE,0,NA,2016-10-08 08:36:53,FALSE,NA,"784673912139440128",NA,"<a href=""http://leadstories.com"" rel=""nofollow"">Lead Stories Feed Publisher</a>","UNolizer",0,FALSE,FALSE,NA,NA,"New York","en","http://pbs.twimg.com/profile_images/709735959244353536/6uHKNGC6_normal.jpg"
"25","Assuming presidency: Duterte's first 100 days  #Philippines #President #RodrigoDuterte... https://t.co/XRZUWVx9zU https://t.co/nhs1WD8ELe",FALSE,0,NA,2016-10-08 08:35:20,FALSE,NA,"784673520596971520",NA,"<a href=""http://leadstories.com"" rel=""nofollow"">Lead Stories Feed Publisher</a>","obamolizer",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/515986100414713856/Np9NLiF__normal.jpeg"
